code,system
A074313,readv2
J154400,readv2
J11z.11,readv2
J123.00,readv2
J150.00,readv2
J150000,readv2
Jyu1200,readv2
J151.00,readv2
J151000,readv2
J151100,readv2
J151200,readv2
J151z00,readv2
J152.00,readv2
J153.00,readv2
J154000,readv2
J154100,readv2
J154200,readv2
J154300,readv2
J15z.00,readv2
J4z0.00,readv2
ZV65316,readv2
10906.0,med
1138.0,med
11497.0,med
11519.0,med
14787.0,med
14928.0,med
15025.0,med
15348.0,med
18260.0,med
18596.0,med
19190.0,med
25544.0,med
27763.0,med
2877.0,med
2936.0,med
29492.0,med
3341.0,med
33820.0,med
3462.0,med
376.0,med
38638.0,med
4506.0,med
45769.0,med
5635.0,med
5858.0,med
6420.0,med
73154.0,med
9731.0,med
J154.00,readv2
J154z00,readv2
J155.00,readv2
J156.00,readv2
J157.00,readv2
Jyu1300,readv2
